GSM,748,10,9702,27041,0,-56.3125,-33.7754,6684,8,1,1458817290,1742791236,0
GSM,748,10,9801,26022,0,-57.1191,-34.4063,6105,6,1,1458817290,1744606281,0
GSM,748,10,9801,26162,0,-57.1071,-34.421,13582,8,1,1458817290,1758773882,0
GSM,748,10,9801,16022,0,-57.0969,-34.3525,2096,3,1,1458817290,1744606281,0
GSM,748,10,9801,16021,0,-57.193,-34.3824,5082,3,1,1458817290,1744606327,0
GSM,748,10,9801,36021,0,-57.2666,-34.3362,4402,3,1,1458817291,1744606327,0
GSM,748,10,9801,36022,0,-57.1732,-34.3499,5523,3,1,1458817291,1744606281,0
GSM,748,10,9801,16162,0,-57.2579,-34.3872,5200,2,1,1452501064,1744606287,0
GSM,748,10,9751,37021,0,-57.1576,-33.1407,1395,4,1,1435429323,1746509899,0
GSM,748,10,9702,17041,0,-56.3238,-33.7339,11416,13,1,1458817290,1742791238,0
UMTS,748,10,19240,69037474,0,-56.136,-34.8173,1846,18,1,1458845302,1748583382,0
UMTS,748,10,19220,68886438,498,-56.1139,-34.8908,1000,7,1,1458924401,1742944862,0
UMTS,748,10,19220,68896339,0,-56.1645,-34.899,1181,16,1,1396310557,1734763794,0
UMTS,748,10,19220,68886345,0,-56.1793,-34.8932,1000,23,1,1431298664,1735108138,0
UMTS,748,10,19220,68896461,155,-56.187,-34.8878,1326,17,1,1458924402,1742590329,0
UMTS,748,10,19220,68886458,148,-56.1072,-34.8954,1000,13,1,1458924401,1743314762,0
UMTS,748,10,19220,68886382,0,-56.2041,-34.8977,1067,24,1,1458924401,1755316495,0
UMTS,748,10,19220,68906358,271,-56.1953,-34.8862,4866,26,1,1457302647,1753504037,0
UMTS,748,10,19220,68906436,0,-56.1603,-34.887,1680,11,1,1458924403,1735711978,0
UMTS,748,10,19220,68916428,404,-56.1484,-34.8797,500,30,1,1435732173,1743314762,0
UMTS,748,10,19220,68906508,340,-56.1875,-34.9052,1000,14,1,1458924403,1742590329,0
